"game_date","time","home_team","away_team","spread","over_vig","under_vig"
2022-12-01,"03:40:00Z","Los Angeles Lakers","Portland Trail Blazers",-5.5,1.9,1.9
2022-12-02,"00:10:00Z","Detroit Pistons","Dallas Mavericks",-7.5,1.9,1.9
2022-12-03,"00:10:00Z","Charlotte Hornets","Washington Wizards",3.5,1.9,1.9
2022-12-03,"00:40:00Z","Atlanta Hawks","Denver Nuggets",3.5,1.85,1.95
2022-12-03,"00:40:00Z","Boston Celtics","Miami Heat",-8,1.9,1.9
2022-12-03,"00:40:00Z","Brooklyn Nets","Toronto Raptors",-2,1.9,1.9
2022-12-03,"00:40:00Z","Cleveland Cavaliers","Orlando Magic",-10,1.9,1.9
2022-12-03,"00:40:00Z","Milwaukee Bucks","Los Angeles Lakers",8,1.9,1.9
2022-12-03,"01:10:00Z","Memphis Grizzlies","Philadelphia 76ers",-5.5,1.9,1.9
2022-12-03,"01:10:00Z","San Antonio Spurs","New Orleans Pelicans",-7,1.9,1.9
2022-12-03,"02:10:00Z","Phoenix Suns","Houston Rockets",11.5,1.9,1.9
2022-12-03,"02:10:00Z","Utah Jazz","Indiana Pacers",6.5,1.95,1.85
2022-12-03,"03:10:00Z","Golden State Warriors","Chicago Bulls",7,1.9,1.9
2022-12-03,"17:40:00Z","New York Knicks","Dallas Mavericks",-1.5,1.9,1.9
2022-12-03,"21:10:00Z","Los Angeles Clippers","Sacramento Kings",-1.5,1.9,1.9
2022-12-03,"23:10:00Z","Charlotte Hornets","Milwaukee Bucks",6.5,1.85,1.95
2022-12-04,"01:10:00Z","Minnesota Timberwolves","Oklahoma City Thunder",-5.5,1.95,1.85
2022-12-04,"01:10:00Z","Toronto Raptors","Orlando Magic",10.5,1.9,1.9
2022-12-04,"01:40:00Z","Golden State Warriors","Houston Rockets",-9.5,1.9,1.9
2022-12-04,"02:10:00Z","Utah Jazz","Portland Trail Blazers",4.5,1.85,1.95
2022-12-04,"20:40:00Z","New Orleans Pelicans","Denver Nuggets",1.5,1.8,2
2022-12-04,"21:10:00Z","San Antonio Spurs","Phoenix Suns",-9,1.85,1.95
2022-12-04,"23:10:00Z","Brooklyn Nets","Boston Celtics",-2.5,1.9,1.9
2022-12-04,"23:10:00Z","Sacramento Kings","Chicago Bulls",2.5,1.9,1.9
2022-12-04,"23:10:00Z","New York Knicks","Cleveland Cavaliers",-3,1.9,1.9
2022-12-04,"23:10:00Z","Detroit Pistons","Memphis Grizzlies",6,1.9,1.9
2022-12-04,"23:10:00Z","Washington Wizards","Los Angeles Lakers",2.5,1.9,1.9
2022-12-05,"02:10:00Z","Portland Trail Blazers","Indiana Pacers",3,1.9,1.9
2022-12-06,"00:10:00Z","Charlotte Hornets","Los Angeles Clippers",3,1.9,1.9
2022-12-06,"00:10:00Z","Orlando Magic","Milwaukee Bucks",-9.5,1.95,1.85
2022-12-06,"00:30:00Z","Toronto Raptors","Boston Celtics",-1.5,1.95,1.85
2022-12-06,"00:40:00Z","Atlanta Hawks","Oklahoma City Thunder",-6,1.9,1.9
2022-12-06,"01:00:00Z","Houston Rockets","Philadelphia 76ers",7,1.9,1.9
2022-12-06,"01:00:00Z","Memphis Grizzlies","Miami Heat",-2,1.9,1.9
2022-12-06,"01:30:00Z","Dallas Mavericks","Phoenix Suns",-2.5,1.95,1.85
2022-12-06,"03:00:00Z","Golden State Warriors","Indiana Pacers",-9.5,1.9,1.9
2022-12-07,"00:30:00Z","Cleveland Cavaliers","Los Angeles Lakers",-4,1.9,1.9
2022-12-07,"00:40:00Z","Miami Heat","Detroit Pistons",8.5,1.9,1.9
2022-12-07,"03:00:00Z","Denver Nuggets","Dallas Mavericks",4.5,1.85,1.95
2022-12-08,"00:10:00Z","Orlando Magic","Los Angeles Clippers",-6,1.95,1.85
2022-12-08,"00:40:00Z","New York Knicks","Atlanta Hawks",2,1.9,1.9
2022-12-08,"00:40:00Z","Brooklyn Nets","Charlotte Hornets",-9.5,1.85,1.95
2022-12-08,"00:40:00Z","Toronto Raptors","Los Angeles Lakers",7.5,1.9,1.9
2022-12-08,"01:10:00Z","Chicago Bulls","Washington Wizards",-5.5,1.9,1.9
2022-12-08,"01:10:00Z","New Orleans Pelicans","Detroit Pistons",10,1.9,1.9
2022-12-08,"01:10:00Z","Minnesota Timberwolves","Indiana Pacers",5.5,1.95,1.85
2022-12-08,"01:10:00Z","Memphis Grizzlies","Oklahoma City Thunder",-7,1.9,1.9
2022-12-08,"01:10:00Z","Milwaukee Bucks","Sacramento Kings",-7,1.95,1.85
2022-12-08,"02:10:00Z","Utah Jazz","Golden State Warriors",6.5,1.85,1.95
2022-12-08,"03:10:00Z","Phoenix Suns","Boston Celtics",-1.5,1.95,1.85
2022-12-09,"00:40:00Z","Miami Heat","Los Angeles Clippers",4.5,1.9,1.9
2022-12-09,"01:40:00Z","San Antonio Spurs","Houston Rockets",-2.5,1.9,1.9
2022-12-09,"03:10:00Z","Portland Trail Blazers","Denver Nuggets",-1.5,2,1.8
2022-12-10,"00:10:00Z","Charlotte Hornets","New York Knicks",4,1.9,1.9
2022-12-10,"00:10:00Z","Indiana Pacers","Washington Wizards",-5,1.9,1.9
2022-12-10,"00:10:00Z","Orlando Magic","Toronto Raptors",7.5,1.9,1.9
2022-12-10,"00:40:00Z","Brooklyn Nets","Atlanta Hawks",7.5,1.9,1.9
2022-12-10,"00:40:00Z","Cleveland Cavaliers","Sacramento Kings",-5.5,1.9,1.9
2022-12-10,"00:40:00Z","Philadelphia 76ers","Los Angeles Lakers",4,1.9,1.9
2022-12-10,"01:10:00Z","Memphis Grizzlies","Detroit Pistons",10.5,1.85,1.95
2022-12-10,"01:40:00Z","New Orleans Pelicans","Phoenix Suns",2,1.95,1.85
2022-12-10,"02:10:00Z","Utah Jazz","Minnesota Timberwolves",2.5,1.9,1.9
2022-12-10,"03:10:00Z","Dallas Mavericks","Milwaukee Bucks",1.5,1.8,2
2022-12-10,"22:10:00Z","Miami Heat","San Antonio Spurs",-11.5,1.9,1.9
2022-12-11,"00:10:00Z","Indiana Pacers","Brooklyn Nets",-1.5,1.9,1.9
